id_i,id_j,similitud_ponderada
1,9,0.42286286152836905
1,10,0.7892359439349579
1,11,0.14638468227497492
1,12,0.5961394283414332
1,13,0.4012705878430588
1,14,0.49170317974379685
1,15,0.04945261250266442
1,16,0.15454471585778698
1,17,0.3360695166695733
1,18,0.46003651307713017
1,19,0.4536927960588674
1,20,0.05127058784305881
1,21,0.42122024076400477
1,22,0.19840730834765066
1,23,0.11727312456638142
1,24,0.5260252774137016
1,25,0.5679372545097254
1,26,0.059958306654963475
1,27,0.13917886041484642
1,28,0.03627058784305881
1,29,0.46793725450972545
1,30,0.8370620726159659
1,31,0.4368666672255683
1,32,0.37542875022277844
1,33,0.49055365757190333
1,34,0.22886751345948125
1,35,0.35541241452319317
1,36,0.18223848084929808
1,37,0.4989051475159647
1,38,0.24882352941176467
1,39,0.1998729038408318
1,40,0.5913948552730028
1,41,0.35831806448102926
1,42,0.4704863895375105
1,43,0.5153707430091459
1,44,0.26746681094191044
1,45,0.5476981657060321
1,46,0.49001633569958525
1,47,0.5206202855249528
1,48,0.4333163247594393
1,49,0.13134773755867407
1,50,0.43913344937142784
1,51,0.3540275713630138
1,52,0.5363159988864773
1,53,0.3011227812387628
1,54,0.5207831074642004
1,55,0.03342824199231252
1,56,0.5093586107470349
1,57,0.35028182350648734
1,58,0.5018501064600879
1,59,0.20790439383010345
1,60,0.5002818235064873
1,61,0.049489322440246813
1,62,0.6840090511922857
1,63,0.34081712461198854
1,64,0.8219812659617136
1,65,0.4390275713630138
1,66,0.2813484272977751
1,67,0.5513630711627094
1,68,0.5829202459358315
1,69,0.4776919440803683
1,70,0.558632106681435
1,71,0.41819836035919083
1,72,0.32524488564907417
1,73,0.4816260429448387
1,74,0.3574837912786552
1,75,0.5083698464104636
1,76,0.4806573001722673
1,77,0.1411389532810392
1,78,0.6349653679393849
1,79,0.5743631401298157
1,80,0.24790323736193737
1,81,0.1981247557513373
1,82,0.6408988040607035
1,83,0.5470690826151323
1,84,0.3696039211763921
1,85,0.13292024593583143
1,86,0.13686502347549925
1,87,0.3512034981338405
1,88,0.5312535792691647
1,89,0.209358610747035
1,90,0.2076919440803683
1,91,0.40993572243642906
1,92,0.4591323283920746
1,93,0.7611059943087792
1,94,0.15857121475156039
1,95,0.214569904028604
1,96,0.6464831029803134
1,97,0.7298488647249445
1,98,0.194358610747035
1,99,0.4964376919368948
1,100,0.26072701381824004
1,101,0.5137895122639766
1,102,0.1115278027306433
1,103,0.2512705878430587
1,104,0.4764213562373095
1,105,0.3408739687399739
1,106,0.26038655347806733
1,107,0.16183377076050265
1,108,0.4196039211763921
1,109,0.019603921176392137
1,110,0.17965642653408279
1,111,0.49435861074703497
1,112,0.5646817606311084
1,113,0.5504901960784313
1,114,0.8008001442752439
1,115,0.645330742093488
1,116,0.034452612502664424
1,117,0.19945611457209617
1,118,0.37368001437750686
1,119,0.16996536793938485
1,120,0.6668955175035065
1,121,0.2076919440803683
1,122,0.16467939592214878
1,123,0.4346323236459167
1,124,0.4840087565081915
1,125,0.4688033871712585
1,126,0.20940402179045356
1,127,0.16102527741370165
1,128,0.4614213562373095
1,129,0.036398335482902354
1,130,0.48930997684875327
1,131,0.37778336212214514
1,132,0.39784947437975976
1,133,0.1902888696967908
1,134,0.4959672483690798
1,135,0.6575406354066407
1,136,0.5101172299722079
1,137,0.046690169233061435
1,138,0.5199382019166015
1,139,0.5233698464104636
1,140,0.5634714346358733
1,141,0.2691821127545282
1,142,0.7862705878430588
1,143,0.5010695166695732
1,144,0.6104491473705543
1,145,0.502156862745098
1,146,0.05293725450972549
1,147,0.3363159988864774
1,148,0.2664439135625585
1,149,0.15857121475156039
1,150,0.4959672483690798
1,151,0.5158613421235165
1,152,0.512788638625792
1,153,0.193053390843361
1,154,0.19191155231574086
1,155,0.36580014427524377
1,156,0.43936326938235903
1,157,0.2512705878430587
2,3,0.15286559595163088
2,4,0.1386919704220576
2,5,0.48299395474223844
2,6,0.2296606214089051
2,7,0.19265200233727667
2,8,0.4489474492554114
2,9,0.41964933221981077
2,10,0.502326887548559
2,11,0.1666160515582006
2,12,0.5851646923946184
2,13,0.34799395474223843
2,14,0.45122762959550095
2,15,0.03514406208415291
2,16,0.0967252253216608
2,17,0.33514406208415287
2,18,0.4345609629288343
2,19,0.4564731648217448
2,20,0.03469463855669323
2,21,0.44258344000912664
2,22,0.17611599479400275
2,23,0.3927828795129667
2,24,0.7578997193135811
2,25,0.7329939547422385
2,26,0.07747938237039512
2,27,0.10787987010226312
2,28,0.10134429664946584
2,29,0.4996606214089051
2,30,0.6179826655531441
2,31,0.4662852626597186
2,32,0.38636130522335993
2,33,0.503280647985776
2,34,0.16329931618554522
2,35,0.4127967736619665
2,36,0.15557710691781157
2,37,0.4730445624968815
2,38,0.4469144730253659
2,39,0.15989875165479578
2,40,0.5624848982434407
2,41,0.6908834516211649
2,42,0.4611159947940027
2,43,0.45658199080004525
2,44,0.4323123992128506
2,45,0.5929701547519471
2,46,0.5486428689112522
2,47,0.764191497503738
2,48,0.4679826655531441
2,49,0.15910055623488048
2,50,0.41969463855669326
2,51,0.41574056718368174
2,52,0.5157235586097876
2,53,0.30992876348592846
2,54,0.5196946385566933
2,55,0.08608350316840087
2,56,0.5245663859802477
2,57,0.40849260267653836
2,58,0.7428997193135811
2,59,0.13256414030687086
2,60,0.4857575757575757
2,61,0.13072409035500906
2,62,0.42378010299909286
2,63,0.3613202565154828
2,64,0.6151646923946185
2,65,0.40074056718368173
2,66,0.1965108905822378
2,67,0.497611203773694
2,68,0.80136130522336
2,69,0.4518313590612851
2,70,0.5850217897944193
2,71,0.3467767116030314
2,72,0.3157518773444125
2,73,0.45882912183287927
2,74,0.3986428689112522
2,75,0.46456096292883425
2,76,0.4705318005809291
2,77,0.17543491370988357
2,78,0.34804367163697775
2,79,0.4830945057471676
2,80,0.4846946385566933
2,81,0.15075187734441253
2,82,0.6261159947940028
2,83,0.5718947127386852
2,84,0.4351646923946184
2,85,0.1180279718900266
2,86,0.10622762334498662
2,87,0.295211285927746
2,88,0.2680279718900266
2,89,0.1501646923946184
2,90,0.16683135906128507
2,91,0.4206873214944342
2,92,0.4007575757575758
2,93,0.5141129227491774
2,94,0.16242824797207228
2,95,0.18302797189002662
2,96,0.6199733774520274
2,97,0.45409404275781096
2,98,0.13516469239461842
2,99,0.4351646923946184
2,100,0.32057710691781155
2,101,0.7019484901731542
2,102,0.4018313590612851
2,103,0.44799395474223846
2,104,0.4667860527244026
2,105,0.31561411592207805
2,106,0.19337488341443337
2,107,0.11547005383792518
2,108,0.6663442966494659
2,109,0.019694638556693237
2,110,0.15583179942864836
2,111,0.4563778958302148
2,112,0.5131775572489045
2,113,0.5135811396920326
2,114,0.49731239921285064
2,115,0.6088291218328793
2,116,0.03347739541748623
2,117,0.14066474915881627
2,118,0.40066274112007805
2,119,0.16974435545143252
2,120,0.6004700538379252
2,121,0.16683135906128507
2,122,0.1016444814130275
2,123,0.3857575757575758
2,124,0.4517588245024098
2,125,0.7110706884571203
2,126,0.14956096292883428
2,127,0.13516469239461842
2,128,0.4351193860577359
2,129,0.06724304350149837
2,130,0.4596329306340021
2,131,0.39987824106335934
2,132,0.4229741944555577
2,133,0.1351193860577359
2,134,0.45021440928935774
2,135,0.6006141159220781
2,136,0.4557741663644307
2,137,0.11579820024789937
2,138,0.4504700538379252
2,139,0.46622762959550096
2,140,0.49799395474223845
